START:0		
20	100	111	1100
30	111	124	1300
40	124	136	1200
50	136	150	1400
60	150	163	1300
70	163	178	1500
80	178	194	1600
90	194	210	1600
100	210	227	1700
110	227	244	1700
120	244	262	1800
130	262	281	1900
140	281	301	2000
150	301	321	2000
160	321	341	2000
170	341	363	2200
180	363	385	2200
190	385	408	2300
200	408	431	2300
210	431	455	2400
220	455	480	2500
230	480	506	2600
240	506	531	2500
250	531	558	2700
260	558	585	2700
270	585	613	2800
280	613	641	2800
290	641	670	2900
300	670	700	3000
310	700	730	3000
320	730	761	3100
330	761	793	3200
340	793	825	3200
350	825	858	3300
360	858	892	3400
370	892	925	3300
380	925	960	3500
390	960	997	3700
400	997	1034	3700
410	1034	1071	3700
420	1071	1109	3800
430	1109	1148	3900
440	1148	1189	4100
450	1189	1229	4000
460	1229	1290	6100
470	1290	1334	4400
480	1334	1376	4200
490	1376	1419	4300
500	1419	1464	4500
510	1464	1509	4500
520	1509	1554	4500
530	1554	1599	4500
540	1599	1646	4700
550	1646	1693	4700
560	1693	1742	4900
570	1742	1790	4800
580	1790	1838	4800
590	1838	1889	5100
600	1889	1939	5000
610	1939	1990	5100
620	1990	2042	5200
630	2042	2094	5200
640	2094	2147	5300
650	2147	2201	5400
660	2201	2255	5400
670	2255	2310	5500
680	2310	2366	5600
690	2366	2422	5600
700	2422	2479	5700
710	2479	2537	5800
720	2537	2593	5600
730	2593	2652	5900
740	2652	2711	5900
750	2711	2770	5900
760	2770	2830	6000
770	2830	2890	6000
780	2890	2951	6100
790	2951	3014	6300
800	3014	3076	6200
810	3076	3139	6300
820	3139	3202	6300
830	3202	3267	6500
840	3267	3332	6500
850	3332	3397	6500
860	3397	3463	6600
870	3463	3530	6700
880	3530	3597	6700
890	3597	3665	6800
900	3665	3734	6900
910	3734	3802	6800
920	3802	3871	6900
930	3871	3941	7000
940	3941	4012	7100
950	4012	4082	7000
960	4082	4153	7100
970	4153	4225	7200
980	4225	4297	7200
990	4297	4370	7300
1000	4370	4442	7200
1010	4442	4515	7300
1020	4515	4589	7400
1030	4589	4664	7500
1040	4664	4738	7400
1050	4738	4813	7500
1060	4813	4889	7600
1070	4889	4966	7700
1080	4966	5042	7600
1090	5042	5119	7700
1100	5119	5196	7700
1110	5196	5274	7800
1120	5274	5353	7900
1130	5353	5431	7800
1140	5431	5510	7900
1150	5510	5589	7900
1160	5589	5670	8100
1170	5670	5750	8000
1180	5750	5831	8100
1190	5831	5912	8100
1200	5912	5995	8300
1210	5995	6077	8200
1220	6077	6160	8300
1230	6160	6243	8300
1240	6243	6327	8400
1250	6327	6412	8500
1260	6412	6496	8400
1270	6496	6581	8500
1280	6581	6667	8600
1290	6667	6753	8600
1300	6753	6840	8700
1310	6840	6927	8700
1320	6927	7014	8700
1330	7014	7102	8800
1340	7102	7189	8700
1350	7189	7277	8800
1360	7277	7366	8900
1370	7366	7453	8700
1380	7453	7542	8900
1390	7542	7630	8800
1400	7630	7718	8800
1410	7718	7803	8500
1420	7803	7889	8600
1430	7889	7975	8600
1440	7975	8059	8400
1450	8059	8143	8400
1460	8143	8226	8300
1470	8226	8309	8300
1480	8309	8393	8400
1490	8393	8475	8200
1500	8475	8555	8000
1510	8555	8635	8000
1520	8635	8715	8000
1530	8715	8793	7800
1540	8793	8870	7700
1550	8870	8945	7500		
STOP:1330			
BREAK:1570			
